keyword_id,keyword,query_id,ai_query,intent_type,query_type,priority_score,estimated_volume,category,language,market,is_selected,created_at,source,target_market
KW_001,亚马逊,KW_001_Q01,如何在亚马逊上开店,informational,branded,5.0,,亚马逊商城基础情况了解,CN,CN,TRUE,2026-06-30 10:16:54,,
KW_001,亚马逊,KW_001_Q02,亚马逊卖家入驻流程,informational,branded,5.0,,新手怎么注册亚马逊,CN,CN,FALSE,2026-06-30 10:16:54,,
KW_001,亚马逊,KW_001_Q03,亚马逊开店需要准备什么,informational,branded,5.0,,亚马逊开店成本费用详解,CN,CN,FALSE,2026-06-30 10:16:54,,
KW_001,亚马逊,KW_001_Q04,亚马逊物流运营模式,informational,branded,5.0,,亚马逊物流仓储科普,CN,CN,FALSE,2026-06-30 10:16:54,,
KW_001,亚马逊,KW_001_Q05,亚马逊上架产品要求,informational,branded,4.0,,教你打造优质Listing,CN,CN,FALSE,2026-06-30 10:16:54,,
KW_001,亚马逊,KW_001_Q06,如何优化亚马逊店铺,transactional,branded,5.0,,店铺运营提升全攻略,CN,CN,FALSE,2026-06-30 10:16:54,,
KW_001,亚马逊,KW_001_Q07,亚马逊广告投放技巧,informational,branded,4.0,,亚马逊广告基础知识大全,CN,CN,FALSE,2026-06-30 10:16:54,,
KW_001,亚马逊,KW_001_Q08,亚马逊热门品类分析,informational,branded,4.0,,跨境电商选品方法及趋势,CN,CN,FALSE,2026-06-30 10:16:54,,
KW_001,亚马逊,KW_001_Q09,亚马逊跨境电商平台优势,informational,branded,4.0,,跨境电商知识早知道,CN,CN,FALSE,2026-06-30 10:16:54,,
KW_001,亚马逊,KW_001_Q10,亚马逊卖家成功案例分享,informational,branded,3.0,,跨境电商行业入门了解,CN,CN,FALSE,2026-06-30 10:16:54,,
KW_002,amazon,KW_002_Q01,how to sell on amazon,informational,branded,5.0,,亚马逊商城基础情况了解,CN,CN,FALSE,2026-06-30 10:16:54,,
KW_002,amazon,KW_002_Q02,amazon seller registration process,informational,branded,5.0,,新手怎么注册亚马逊,CN,CN,FALSE,2026-06-30 10:16:54,,
KW_002,amazon,KW_002_Q03,amazon seller fees and costs,informational,branded,5.0,,亚马逊开店成本费用详解,CN,CN,FALSE,2026-06-30 10:16:54,,
KW_002,amazon,KW_002_Q04,amazon fulfillment options,informational,branded,5.0,,亚马逊物流仓储科普,CN,CN,FALSE,2026-06-30 10:16:54,,
KW_002,amazon,KW_002_Q05,amazon listing optimization tips,transactional,branded,4.0,,教你打造优质Listing,CN,CN,FALSE,2026-06-30 10:16:54,,
KW_002,amazon,KW_002_Q06,how to improve amazon store performance,transactional,branded,5.0,,店铺运营提升全攻略,CN,CN,FALSE,2026-06-30 10:16:54,,
KW_002,amazon,KW_002_Q07,amazon advertising strategies,informational,branded,4.0,,亚马逊广告基础知识大全,CN,CN,FALSE,2026-06-30 10:16:54,,
KW_002,amazon,KW_002_Q08,amazon best selling product categories,informational,branded,4.0,,跨境电商选品方法及趋势,CN,CN,FALSE,2026-06-30 10:16:54,,
KW_002,amazon,KW_002_Q09,benefits of selling on amazon globally,informational,branded,4.0,,跨境电商知识早知道,CN,CN,FALSE,2026-06-30 10:16:54,,
